frame,si,ti
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.1916,0.0858
69,0.4683,0.3362
70,1.354,1.0283
71,2.2743,1.151
72,4.6716,1.5957
73,6.2629,1.6405
74,9.0527,1.8242
75,12.5828,1.8188
76,15.5726,2.0079
77,18.6737,1.9851
78,22.0935,2.0619
79,25.4143,2.2248
80,28.7325,2.257
81,32.3943,2.3049
82,35.7347,2.2876
83,39.0664,2.3138
84,42.7236,2.3608
85,45.9224,2.2141
86,49.0937,2.2457
87,52.5784,2.2905
88,55.1009,2.0014
89,57.6075,2.0454
90,60.3118,1.9989
91,62.3659,1.8586
92,64.4705,1.8671
93,66.6821,1.8302
94,67.4271,1.3188
95,68.2357,1.6353
96,69.0807,1.3284
97,69.0938,1.376
98,69.1539,1.3121
99,69.2753,1.2468
