frame,si,ti
1,44.064,0.0
2,44.3139,13.9971
3,44.3382,14.5883
4,44.151,14.9407
5,44.1695,14.8412
6,44.3213,14.993
7,44.2311,14.9309
8,44.1945,14.8946
9,44.3844,14.8244
10,44.4141,14.9285
11,44.3332,14.5402
12,44.4357,14.6489
13,44.4947,14.9741
14,44.5407,14.8344
15,44.517,14.9068
16,44.3617,14.7349
17,44.058,14.6586
18,44.0947,14.7732
19,44.3693,14.5632
20,44.08,14.6772
21,43.7355,15.3239
22,43.7645,15.4153
23,44.034,14.6822
24,43.8497,14.5213
25,43.8289,14.8623
26,43.6128,14.6049
27,43.758,14.4519
28,43.4609,14.7885
29,43.1467,15.2322
30,43.3023,14.8333
31,43.2747,14.8383
32,43.0402,14.9494
33,42.9508,14.7947
34,42.9225,14.4903
35,43.0844,15.068
36,43.1588,15.0575
37,42.9588,15.4473
38,43.2359,15.2299
39,43.2524,15.2933
40,43.2364,15.5088
41,43.0047,15.7898
42,43.1059,15.5279
43,43.1619,15.2502
44,43.1641,15.5056
45,42.9997,15.4035
46,42.6316,15.0584
47,42.4471,14.9859
48,42.4739,14.7949
49,42.1021,16.3293
50,41.9353,15.098
51,42.3454,15.058
52,42.4975,15.1423
53,42.1768,15.8889
54,41.9195,15.812
55,41.9144,15.9928
56,41.9768,16.0456
57,41.9153,16.1758
58,41.8276,16.0564
59,41.9304,15.8033
60,41.7773,15.6552
61,41.7225,15.4252
62,41.5184,15.1724
63,41.6069,15.1473
64,41.7237,15.1461
65,41.5612,15.0909
66,41.2739,15.0579
67,41.3156,14.9567
68,41.246,15.0009
69,41.1562,15.058
70,41.0262,15.1609
71,41.1431,15.2341
72,41.421,15.2848
73,41.2183,15.8127
74,41.0128,15.3093
75,40.8056,15.2631
76,40.7715,14.7755
77,40.7843,14.8125
78,40.7371,14.7764
79,40.5695,15.3005
80,40.6177,14.8566
81,41.1207,15.034
82,41.5415,14.5085
83,41.096,14.2798
84,41.0033,14.3155
85,40.9968,13.7576
86,40.8609,13.4435
87,40.7046,13.1265
88,40.6577,13.267
89,40.653,13.0759
90,40.6325,13.1437
91,40.3623,13.1878
92,40.2335,12.8089
93,40.1923,12.8301
94,40.5774,12.9719
95,40.459,12.686
96,40.3838,12.805
97,40.3932,12.8466
98,40.261,12.399
99,40.1479,12.3029
100,40.1461,12.1552
101,40.1209,12.1609
102,40.1728,12.6563
103,40.1983,11.9741
104,40.1327,11.7789
