frame,si,ti
1,83.6721,0.0
2,86.1176,37.1008
3,88.6485,34.0487
4,91.2637,33.6688
5,93.9162,32.0525
6,96.8195,31.7602
7,99.703,32.285
8,102.3013,32.4248
9,104.643,33.1816
10,106.7946,32.7365
11,109.0704,32.3793
12,111.219,32.5315
13,113.0057,31.9725
14,114.3711,29.9363
15,114.4066,23.2561
16,114.2502,17.0064
17,114.0256,11.3724
18,114.0252,1.0982
19,114.0268,1.0898
20,114.0269,1.1112
21,114.0234,1.2169
22,114.024,1.0463
23,114.0247,1.0374
24,114.0269,1.0664
25,114.0287,0.974
26,114.028,1.1078
27,114.0286,1.097
28,114.0299,1.1514
29,114.0265,1.2518
30,114.0265,1.0893
31,114.0278,1.1034
32,114.0262,1.0755
33,114.0283,1.0078
34,114.0304,1.0789
35,114.028,1.1398
36,114.0284,1.0785
37,114.0308,1.1359
38,114.0236,1.7703
39,114.023,1.9904
40,114.0249,1.9714
41,114.0231,1.9181
42,114.0271,1.821
43,114.0267,1.8281
44,114.0311,1.7956
45,114.037,1.5833
46,114.0228,2.5247
47,114.0212,1.8675
48,114.0225,2.1708
49,114.0294,2.1618
50,114.0243,2.2803
51,114.0261,2.4977
52,114.0313,2.4495
53,114.0122,1.9011
54,114.0353,1.3904
55,114.026,1.3371
56,114.0277,1.2608
57,114.0362,1.3368
58,114.0341,1.1811
59,114.0296,1.048
60,114.1204,1.7747
61,114.1229,1.6414
62,114.1243,1.6463
63,114.1292,1.7211
64,114.1272,1.6422
65,114.1286,1.6464
66,114.1281,1.7018
67,114.1344,1.6152
68,114.1367,1.7182
69,114.1391,1.6352
70,114.1378,1.7542
71,114.1401,1.6587
72,114.1411,1.8151
73,114.1399,1.7299
74,114.1406,1.7091
75,114.1441,1.7112
76,114.1445,1.7067
77,114.1528,1.7543
78,114.1538,1.8061
79,114.1536,1.6675
80,114.1508,1.8694
81,114.1571,1.6994
82,114.1544,1.842
83,114.163,1.6923
84,114.1609,1.7644
85,114.1624,1.7449
86,114.1655,1.8172
87,114.171,1.7619
88,114.1689,1.8867
89,114.1668,1.8507
90,114.1695,1.7925
91,114.1707,1.0078
92,114.1698,1.0217
93,114.1732,0.9484
94,114.1732,1.056
95,114.1745,1.0499
96,114.174,1.0589
97,114.1716,1.1874
98,114.17,1.0136
99,114.171,1.0107
100,114.1705,1.029
101,114.1862,1.1254
102,114.169,1.2986
103,114.1728,0.9578
104,114.1725,0.9372
105,114.1739,0.9192
106,114.1753,1.0083
107,114.1749,0.9899
108,114.1749,0.996
109,114.1726,1.1607
110,114.1722,0.9992
111,114.1734,0.9883
112,114.1723,0.9885
113,114.1734,0.9622
114,114.1751,0.9874
115,114.1732,0.9799
116,114.1666,1.5722
117,114.1681,1.4495
118,114.1644,1.6002
119,114.1658,1.4937
120,114.1695,1.6225
121,114.1691,1.4948
122,114.1672,1.4842
123,114.1683,1.5153
124,114.1688,1.5193
125,114.1698,1.5508
126,114.1683,1.7763
127,114.1606,1.5246
128,114.1483,1.5844
129,114.1519,1.6327
130,114.1397,1.5678
131,114.1415,1.6866
132,114.1191,2.0179
133,114.125,1.8622
134,114.1251,1.8203
135,114.1165,2.0195
136,114.1303,1.9361
137,114.1313,1.9025
138,114.1259,1.9648
139,114.1281,1.8485
140,114.1302,1.9279
141,114.1386,1.8947
142,114.1386,1.8994
143,114.1388,1.9114
144,114.1218,1.9332
145,114.1213,1.8176
146,114.1325,1.8319
147,114.1268,1.8644
148,114.1353,1.8891
149,114.1374,1.8191
150,114.1202,1.9661
151,114.1293,1.8134
152,114.1388,1.8732
153,114.1324,1.7363
154,114.137,1.7611
155,114.1325,1.7016
156,114.123,1.6291
157,114.1291,1.5923
158,114.135,1.5628
159,114.1431,1.4716
160,114.1571,1.5944
161,114.1604,1.4151
162,114.1587,1.4485
163,114.1612,1.3682
164,114.1584,1.3361
165,114.1578,1.342
166,114.1585,1.3472
167,114.1554,1.3374
168,114.1535,1.3815
169,114.1527,1.4301
170,114.1506,1.2535
171,113.9932,1.5612
172,114.0073,1.1842
173,114.021,1.1547
174,114.0362,1.2103
175,114.0358,1.1784
176,114.0345,1.1689
177,114.0273,1.3053
178,114.0269,1.0156
179,114.0274,1.0346
180,114.0291,1.01
181,114.0301,0.9877
182,114.0305,1.0155
183,114.0313,1.0287
184,114.0307,1.0514
185,114.0306,1.0306
186,114.0307,1.2047
187,114.0292,1.0345
188,114.0296,0.9842
189,114.0324,1.0099
190,114.0339,0.9926
191,114.0328,1.0617
192,114.0344,1.0325
193,114.0325,1.1156
194,114.0337,1.2088
195,114.0355,1.0341
196,114.0351,1.0557
197,114.034,1.1458
198,114.0373,1.1032
199,114.0351,1.1928
200,114.0354,1.1922
201,114.0397,1.1918
202,114.0456,1.217
203,114.0564,1.4586
204,114.0669,1.2355
205,114.0648,1.2507
