frame,si,ti
1,29.5831,0.0
2,29.5831,0.0
3,31.1168,12.2148
4,30.5558,11.3566
5,30.8849,11.2439
6,30.6366,11.3003
7,31.4966,11.0726
8,30.6545,10.1612
9,31.0281,9.9372
10,30.7732,10.1366
11,30.9761,9.9567
12,30.526,9.3402
13,30.3296,12.2143
14,29.5993,10.1509
15,29.7247,11.647
16,29.1203,11.409
17,29.6223,11.0731
18,29.6704,11.5701
19,29.0915,11.7535
20,28.5309,11.1393
21,29.1199,12.3229
22,28.6317,12.2497
23,28.5899,17.2432
24,27.8496,13.4361
25,28.2564,13.4554
26,27.8323,13.9827
27,27.8523,14.2115
28,27.6121,13.9405
29,28.1223,13.2156
30,27.5232,17.4618
31,28.1889,11.5398
32,27.0178,11.4471
33,27.3811,10.8256
34,27.5604,10.1
35,27.1757,9.5046
36,27.272,11.7971
37,26.3279,9.125
38,26.9501,9.0612
39,27.0166,9.1601
40,26.1665,8.929
41,26.6136,8.868
42,26.41,11.1341
43,26.4732,8.6617
44,27.121,9.4215
45,27.1331,10.2293
46,27.6252,10.8928
47,27.4636,14.6877
48,27.1924,11.4499
49,28.1847,11.2787
50,28.3137,11.9291
51,30.0267,15.311
52,29.5712,12.4933
53,30.4126,12.6735
54,30.3394,12.8836
55,31.2935,14.9654
56,31.3593,12.5907
57,31.7198,12.586
58,31.6028,12.5046
59,30.9465,15.0298
60,30.7947,12.0685
61,32.2464,12.3188
62,32.485,12.4117
63,32.6512,14.6143
64,32.452,12.0673
65,32.3252,11.8514
66,33.7577,14.349
67,34.5607,12.5105
68,36.0478,13.0489
69,35.9846,13.1978
70,37.2577,15.0712
71,37.2406,12.7021
72,37.3903,12.6718
73,35.8056,14.6597
74,35.2677,11.8975
75,35.87,11.7945
76,33.8095,13.6581
77,33.9358,11.3313
78,33.2123,11.1498
79,33.3749,13.0523
80,33.0661,11.0941
81,32.9548,11.0314
82,32.5654,12.7029
83,32.6454,10.7363
84,33.5823,10.7486
85,31.7091,12.56
86,32.1947,10.1698
87,31.5121,10.2423
88,31.1575,12.0492
89,30.5059,10.0688
90,30.4318,11.72
91,29.5799,9.8513
92,29.6874,9.5504
93,29.296,11.5105
94,29.3194,9.1045
95,29.7947,8.969
96,29.2742,11.0685
97,29.3103,8.7699
98,28.7511,10.5968
99,29.003,8.6127
100,28.7378,8.687
101,28.9088,10.8553
102,28.4882,8.5652
103,28.7142,10.6435
104,28.4699,8.709
105,28.6512,10.6374
106,28.4587,8.973
107,28.7734,11.0924
108,28.569,8.8496
109,28.4759,8.9279
110,28.5429,10.7
111,28.5361,8.9136
112,28.4432,10.4182
113,28.7821,8.7936
114,28.4994,10.5681
115,28.6497,8.7586
116,28.5371,10.3799
117,28.6138,8.6882
118,28.6895,10.34
119,28.7233,8.6021
120,28.3272,9.7826
121,28.5264,8.2976
122,28.8925,8.5308
123,28.5702,9.7459
124,28.7304,8.4025
125,28.5252,10.044
126,28.7944,8.4085
127,28.2444,9.9003
128,28.8042,8.3174
129,28.7622,9.7915
130,28.9624,8.6164
131,28.7686,9.679
132,29.1596,8.1806
133,28.906,9.6756
134,29.3929,8.4398
135,29.0932,9.5606
136,29.4574,8.4078
137,29.2102,9.6097
138,29.4785,8.4094
139,29.1285,8.4902
140,29.7029,10.0315
141,29.3983,9.0754
142,29.576,10.6296
143,28.9687,8.8516
144,29.1338,10.9849
145,28.9658,9.5315
146,29.2321,11.8616
147,29.137,9.9988
148,29.366,12.3107
149,29.3863,10.7187
150,29.6016,13.0255
151,29.3894,10.8581
152,29.8698,13.0111
153,29.693,11.0143
154,30.6198,13.9715
155,30.3948,11.718
156,30.3719,11.8904
157,30.4618,15.115
158,30.5334,12.5393
159,30.9335,17.0924
160,30.8708,14.1079
161,31.2503,18.2098
162,31.8272,14.9081
163,32.9899,20.4824
164,32.9464,17.3613
165,33.4016,22.798
166,32.6155,16.6214
167,32.3933,21.7538
168,32.5183,16.4175
169,32.4897,23.4203
170,32.4544,19.1626
171,32.273,22.1423
172,31.9345,15.1643
173,32.406,14.281
174,29.0843,18.7006
175,27.8296,13.357
176,27.0907,16.7326
177,27.651,12.0548
178,28.3225,15.1817
179,29.758,11.7726
180,31.4113,15.4837
181,33.2776,12.5272
182,34.7003,16.1606
183,36.0113,13.6124
184,37.7745,17.1009
185,39.0753,15.1699
186,39.4162,17.7975
187,39.3323,14.6953
188,37.6424,14.4166
189,37.4047,16.572
190,36.4617,13.7804
191,36.6141,16.5086
192,35.4545,13.7669
193,35.0395,16.0595
194,33.936,13.2362
195,34.1976,15.9203
196,33.2028,12.9333
197,33.2875,15.5018
198,32.5166,12.6623
